ver_format,FAKE_GPS,app,ver_app,device_id,date,time,device,tick,s_t4,s_h4,s_b2,s_d2,s_d0,s_d1,d_t5,d_h5,gps_lat,gps_lon,gps_fix,gps_num
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:04:32,LinkIt_Smart_7688_Duo,541708611,0.00,0.00,0.00,20,32,42,25.46,60.44,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:06:30,LinkIt_Smart_7688_Duo,541826424,0.00,0.00,0.00,19,29,38,25.53,59.96,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:08:28,LinkIt_Smart_7688_Duo,541944246,0.00,0.00,0.00,19,28,38,25.61,59.91,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:16:19,LinkIt_Smart_7688_Duo,542415554,0.00,0.00,0.00,22,33,42,25.75,59.35,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:21:14,LinkIt_Smart_7688_Duo,542710159,0.00,0.00,0.00,17,26,30,25.87,58.03,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:24:10,LinkIt_Smart_7688_Duo,542886879,0.00,0.00,0.00,18,25,28,25.86,57.86,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:27:07,LinkIt_Smart_7688_Duo,543063644,0.00,0.00,0.00,18,28,33,25.91,57.89,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:29:05,LinkIt_Smart_7688_Duo,543181494,0.00,0.00,0.00,16,24,30,25.89,57.56,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:30:04,LinkIt_Smart_7688_Duo,543240413,0.00,0.00,0.00,17,25,30,25.89,57.48,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:31:03,LinkIt_Smart_7688_Duo,543299311,0.00,0.00,0.00,16,25,29,25.84,57.35,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:34:59,LinkIt_Smart_7688_Duo,543534960,0.00,0.00,0.00,16,24,31,25.80,57.83,25.743596,123.471476,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:36:56,LinkIt_Smart_7688_Duo,543652755,0.00,0.00,0.00,15,23,29,25.83,58.18,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:39:53,LinkIt_Smart_7688_Duo,543829458,0.00,0.00,0.00,16,26,33,25.97,58.03,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:44:48,LinkIt_Smart_7688_Duo,544123975,0.00,0.00,0.00,16,22,28,26.12,57.24,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:46:51,LinkIt_Smart_7688_Duo,544247650,0.00,0.00,0.00,14,21,28,26.17,57.13,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:49:48,LinkIt_Smart_7688_Duo,544424333,0.00,0.00,0.00,16,25,29,26.21,56.77,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:51:52,LinkIt_Smart_7688_Duo,544548007,0.00,0.00,0.00,14,22,29,26.23,56.74,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:52:51,LinkIt_Smart_7688_Duo,544606910,0.00,0.00,0.00,16,23,31,26.26,56.80,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,00:54:48,LinkIt_Smart_7688_Duo,544724695,0.00,0.00,0.00,14,21,28,26.38,56.65,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:01:41,LinkIt_Smart_7688_Duo,545136977,0.00,0.00,0.00,14,21,25,26.61,55.13,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:02:39,LinkIt_Smart_7688_Duo,545195857,0.00,0.00,0.00,14,23,23,26.62,55.04,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:04:37,LinkIt_Smart_7688_Duo,545313626,0.00,0.00,0.00,14,20,25,26.62,54.71,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:12:28,LinkIt_Smart_7688_Duo,545784832,0.00,0.00,0.00,14,22,28,26.50,55.39,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:13:27,LinkIt_Smart_7688_Duo,545843728,0.00,0.00,0.00,13,19,20,26.49,55.24,25.743596,123.471476,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:18:22,LinkIt_Smart_7688_Duo,546138175,0.00,0.00,0.00,14,20,24,26.53,55.89,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:22:17,LinkIt_Smart_7688_Duo,546373746,0.00,0.00,0.00,14,22,24,26.61,55.51,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:23:16,LinkIt_Smart_7688_Duo,546432641,0.00,0.00,0.00,14,20,23,26.63,55.27,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:26:13,LinkIt_Smart_7688_Duo,546609330,0.00,0.00,0.00,16,21,24,26.63,54.71,25.743596,123.471476,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:28:11,LinkIt_Smart_7688_Duo,546727122,0.00,0.00,0.00,16,24,28,26.58,54.77,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:29:10,LinkIt_Smart_7688_Duo,546786017,0.00,0.00,0.00,15,24,28,26.57,54.83,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:36:02,LinkIt_Smart_7688_Duo,547198285,0.00,0.00,0.00,12,17,23,26.82,55.18,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:40:56,LinkIt_Smart_7688_Duo,547492784,0.00,0.00,0.00,14,21,26,27.24,54.09,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:42:54,LinkIt_Smart_7688_Duo,547610564,0.00,0.00,0.00,16,24,34,27.39,53.76,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:43:53,LinkIt_Smart_7688_Duo,547669481,0.00,0.00,0.00,16,23,28,27.43,53.62,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:45:51,LinkIt_Smart_7688_Duo,547787264,0.00,0.00,0.00,14,20,23,27.50,53.23,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:46:50,LinkIt_Smart_7688_Duo,547846152,0.00,0.00,0.00,14,22,28,27.54,53.20,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:48:48,LinkIt_Smart_7688_Duo,547963957,0.00,0.00,0.00,14,22,24,27.58,52.94,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:52:43,LinkIt_Smart_7688_Duo,548199534,0.00,0.00,0.00,14,23,25,27.42,52.78,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:53:42,LinkIt_Smart_7688_Duo,548258441,0.00,0.00,0.00,14,18,23,27.39,53.26,23.6957,120.1875,1,15
3,1,MAPS,5.1.8,9E65F90B25B8,2017-12-29,01:55:40,LinkIt_Smart_7688_Duo,548376229,0.00,0.00,0.00,13,20,21,27.37,53.49,23.6957,120.1875,1,15
